"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19"
5,5,600,2,4,5,2,3,1,3,1,8,7,3,4,5,7,8,"Yes",7,2,0,1,"No",2,4,2,2,8,"No",5,1,1,"Yes","Yes","Yes",NA,"Yes",NA,"Yes",6,3,8,3,5,1,1,3,24.6,18,3,160,85,"Yes",6,"Female",24,NA,4,"No"
60,5,75,5,6,5,4,3,3,3,2,8,9,9,8,7,8,9,"Yes",10,7,4,5,"No",3,5,1,9,7,"Yes",7,4,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,5,8,5,4,4,1,1,NA,NA,0,180,91,"No",10,"Male",61,"Legally married",5,"Yes"
90,5,90,7,7,7,2,1,2,3,2,6,3,3,3,3,3,3,"Yes",6,5,2,2,"No",3,2,3,8,7,"Yes",6,2,6,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,6,3,6,0,1,5,9.6,72,4,172,86,"No",3,"Male",57,NA,4,"No"
60,5,720,6,4,5,3,2,3,3,3,6,7,7,4,4,7,9,"Yes",8,5,3,2,"Yes",4,5,1,3,3,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,4,5,0,1,4,13.2,36.9,2,185,90,"No",9,"Male",25,NA,4,"Yes"
75,5,600,8,8,7,4,3,3,2,3,6,7,7,7,6,4,8,"Yes",8,6,3,4,"No",3,4,1,6,3,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,3,7,6,5,4,3,4,100,40,3,181,104,"Yes",9,"Male",42,"Legally married",3,"Yes"
45,5,300,2,3,4,2,1,4,1,3,0,1,7,0,1,1,4,"Yes",8,6,5,4,"Yes",3,3,1,3,2,"No",0,1,1,"No","Yes","Yes",NA,"No","Yes","Yes",6,3,6,5,6,7,3,4,0,21.1,1,173,84,"No",8,"Male",51,"Legally married",6,"Yes"
100,5,170,7,2,7,3,3,3,4,3,7,8,7,6,6,7,8,"Yes",8,4,4,4,"No",3,4,1,7,7,"No",5,2,3,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,4,8,5,5,3,2,6,47.5,13.2,4,180,74,"No",8,"Male",82,"Legally married",6,"Yes"
30,5,180,1,2,4,1,1,3,2,3,5,6,6,2,2,5,5,"No",6,6,3,2,"No",4,4,1,8,5,"Yes",7,1,4,"Yes","Yes","Yes",NA,"Yes","No","No",8,3,4,2,5,1,5,5,13.2,108.2,4,175,67,"No",5,"Female",34,NA,5,"Yes"
0,5,180,5,6,6,1,4,1,4,2,5,6,7,4,5,5,5,"Yes",7,6,4,2,"No",3,4,1,5,5,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,5,6,6,1,1,2,13.2,13.2,1,158,64,"No",7,"Female",32,"Living with my partner - not legally recognised",5,"Yes"
180,2,NA,5,5,7,2,1,1,2,1,6,8,8,8,7,7,7,"Yes",6,5,3,2,"No",2,3,1,7,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,6,5,5,0,1,3,19.8,19.8,3,160,87,"No",5,"Female",77,NA,5,"Yes"
90,5,180,8,7,6,3,2,3,3,3,7,8,8,7,6,5,5,"Yes",8,6,4,3,"No",3,3,1,6,6,"No",4,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,5,6,5,3,2,0,21.1,1,163,66,"No",9,"Female",79,NA,2,"Yes"
10,5,180,8,8,6,2,3,2,3,2,7,5,6,7,7,7,7,"Yes",7,6,4,3,"Yes",3,5,1,5,3,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,7,5,6,4,1,5,20,80,4,158,68,"No",7,"Female",24,NA,5,"Yes"
10,5,420,5,5,4,2,2,1,1,1,2,6,6,3,3,4,8,"Yes",8,6,4,2,"No",2,3,2,5,5,"No",2,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,9,3,4,1,3,3,0,26.4,1,186,110,"No",9,"Female",37,"Legally married",3,"Yes"
45,5,480,8,8,6,4,4,4,4,3,7,7,7,7,6,6,8,"Yes",8,6,4,4,"No",4,4,1,8,6,"No",4,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",9,5,4,6,6,5,4,6,19.6,39.6,4,153,84,"No",8,"Female",39,"Legally married",4,"Yes"
100,5,150,8,8,6,4,1,3,3,2,8,8,8,7,6,6,3,"Yes",10,4,4,3,"No",4,4,1,10,10,"Yes",6,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",10,3,7,5,5,0,2,6,13.2,23.2,2,178,120,"No",9,"Male",63,"Legally married",6,"Yes"
0,5,240,0,5,0,1,1,5,1,1,5,3,3,0,0,5,5,"Yes",5,4,4,2,"No",3,4,1,5,5,"No",0,1,1,"No","Yes","No",1985,"Yes","Yes","No",10,3,6,6,5,3,1,1,NA,NA,0,160,83,"No",5,"Female",47,NA,6,"Yes"
75,1,NA,5,8,7,3,3,1,2,1,6,6,8,4,3,5,7,"Yes",9,6,5,2,"No",1,3,2,6,6,"Yes",6,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,7,7,6,0,1,2,0,72,1,147,53,"No",9,"Female",64,"Legally married",4,"Yes"
60,5,120,7,9,6,1,3,2,3,3,6,8,8,8,6,5,5,"Yes",8,6,1,3,"No",3,4,1,4,3,"Yes",8,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,3,8,5,5,0,1,2,13.2,13.2,1,161,68,"No",8,"Female",79,NA,5,"Yes"
30,5,360,7,3,1,2,1,2,2,3,7,4,3,6,7,8,8,"Not eligible to vote",9,7,5,4,"No",3,5,1,6,3,"Yes",6,2,5,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,6,5,6,7,2,5,0,120,4,180,70,"No",9,"Male",16,NA,3,"Yes"
90,5,360,0,0,4,2,1,4,1,4,0,2,7,0,0,0,0,"No",6,4,1,1,"No",3,3,3,0,0,"No",7,1,2,NA,"Yes","Yes",NA,"Yes","Yes","Yes",5,4,10,5,1,0,6,2,0,188,2,170,70,"No",6,"Male",45,NA,5,"Yes"
30,5,90,6,6,7,3,2,1,1,2,5,3,5,3,3,3,4,"Yes",8,2,4,3,"No",2,3,2,6,6,"No",6,1,1,"No","Yes","Yes",NA,"No","Yes","Yes",5,3,7,5,5,7,1,7,111.6,111.6,4,181,84,"No",8,"Male",64,"Legally married",4,"Yes"
30,5,600,6,6,5,3,3,3,2,3,5,6,7,4,5,5,5,"Yes",8,7,4,3,"No",4,4,1,6,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,3,5,7,3,5,13.2,85.2,3,160,83,"No",8,"Female",33,"Living with my partner - legally recognised",4,"Yes"
30,5,60,6,6,5,3,2,2,2,2,4,5,6,4,4,3,4,"Yes",6,6,2,2,"No",2,3,1,7,5,"No",3,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,4,6,5,5,3,3,3,0,26.4,2,157,57,"No",4,"Female",57,"Legally married",5,"Yes"
45,5,180,4,5,5,2,2,2,2,2,4,3,7,2,3,6,7,"Yes",5,6,3,3,"No",2,3,1,3,3,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,3,5,5,5,2,3,5,0,13.2,2,186,NA,"No",6,"Female",31,"Legally married",4,"Yes"
30,5,120,5,5,3,2,3,1,2,2,3,4,5,2,2,3,5,"No",8,5,4,3,"Yes",2,4,1,9,8,"No",4,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,8,5,5,7,1,4,40,46.2,1,162,65,"No",8,"Female",22,NA,4,"Yes"
150,5,90,7,7,7,4,2,3,3,2,4,5,7,5,4,5,6,"Yes",7,6,4,3,"No",3,4,1,5,3,"Yes",5,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,8,5,4,5,1,4,26.4,26.4,2,165,63,"No",7,"Female",59,"Legally married",3,"Yes"
20,4,300,4,7,6,2,3,1,3,1,0,5,5,5,5,5,5,"No",10,6,3,4,"Yes",3,4,1,8,2,"Yes",8,3,7,"No","Yes","Yes",NA,"Yes","No","No",7,4,7,3,7,1,1,1,NA,NA,0,173,60,"No",8,"Female",30,NA,4,"No"
